""	./WT_1	./WT_2	./WT_3	./Y2_1	./Y2_2	./Y2_3	./YT_1	./YT_2	./YT_3
ENSG00000231521	0	0	0	0	0	0	1	0	0
XPA	85	62	150	197	90	151	282	235	212
KRT18P13	0	0	0	0	0	0	0	0	0
PTCSC2	0	1	4	3	1	4	2	0	0
ENSG00000260677	0	0	0	0	0	2	1	2	3
ENSG00000307267	0	0	2	0	0	0	0	0	0
FOXE1	1	1	8	0	1	4	5	2	0
ENSG00000307471	0	0	0	0	0	1	0	0	1
TRMO	122	97	122	226	74	215	216	187	227
ENSG00000287070	0	0	0	0	0	0	0	0	0
HEMGN	0	0	0	0	0	0	0	0	0
ANP32B	5754	5248	2616	10928	3923	6177	11711	8547	3524
ENSG00000236896	0	0	0	0	0	0	0	0	0
RNU6-918P	0	0	0	0	0	0	0	0	0
ENSG00000298058	0	1	0	0	0	3	0	0	0
NANS	1358	1299	956	1978	778	1507	1934	1295	1309
TRIM14	886	805	584	848	377	1007	1199	801	1078
CORO2A	3981	3659	1955	3636	1767	3362	3994	2055	2301
ENSG00000299446	0	0	0	0	0	0	0	0	0
TBC1D2	427	382	147	323	84	258	126	88	157
MIR6854	0	0	0	0	0	0	0	0	0
ENSG00000224001	0	0	0	0	0	0	0	0	0
ENSG00000299552	0	3	0	0	1	5	2	0	2
GABBR2	171	181	75	76	24	88	86	95	77
SEPTIN7P7	0	0	1	6	1	3	27	7	1
ANKS6	2460	2201	2515	2719	1534	2980	3267	1676	3237
ENSG00000285706	9	5	10	10	7	14	13	4	6
GALNT12	835	779	1774	841	554	1328	1678	885	1019
ENSG00000267026	0	0	0	0	0	0	0	0	6
NME2P3	0	0	0	0	0	0	0	0	0
ADIPINT	0	0	0	0	0	0	0	0	0
COL15A1	3	6	17	0	9	6	23	7	32
ENSG00000270412	0	0	0	0	1	1	2	0	2
TGFBR1	2279	2133	2676	3123	2174	3995	5274	2733	4374
RNA5SP290	0	0	0	0	0	0	0	0	0
ENSG00000227269	1	0	7	2	0	0	0	0	0
RN7SL794P	0	0	0	0	0	0	0	0	0
ALG2	1071	1024	817	1919	694	999	1748	1800	1132
SEC61B	2764	2675	1447	4231	2123	2566	4606	4064	2797
ENSG00000294848	4	1	2	5	1	2	10	10	7
RN7SKP225	0	0	0	0	0	0	1	0	0
ENSG00000294793	0	0	0	0	0	0	0	0	0
KRT8P11	0	0	0	4	0	0	0	0	0
NAMA	28	18	56	24	17	56	57	32	33
ENSG00000277828	0	0	0	0	0	0	0	0	0
ENSG00000287955	0	0	0	0	1	0	0	0	0
ENSG00000277465	0	0	0	0	0	0	0	0	0
ENSG00000234860	0	0	0	0	0	0	0	0	0
ENSG00000294876	2	0	0	6	0	0	0	1	0
ENSG00000294949	0	0	0	0	0	0	0	0	0
ENSG00000294927	0	0	0	0	0	0	0	0	0
ENSG00000294904	0	0	0	0	0	0	0	0	0
NR4A3	3	0	16	9	3	4	4	9	0
STX17	1079	1057	1607	1427	712	1971	2235	1459	1547
ENSG00000254571	0	0	0	0	0	3	0	0	0
ERP44	1438	1439	1588	2927	1131	2532	3080	2567	2141
UPF3AP3	1	0	0	1	1	0	1	1	1
INVS	280	306	467	489	377	788	1161	573	903
RN7SL75P	0	0	3	0	0	1	3	0	2
RPS2P35	2	6	0	167	6	0	109	32	0
DPPA3P10	0	0	0	0	0	0	0	0	0
NANOGP5	0	0	0	0	0	0	0	0	2
TEX10	4016	3923	2908	6364	2522	4434	6912	6000	5952
ENSG00000298775	520	417	640	346	290	589	733	347	361
MSANTD3	916	843	1222	1522	685	1435	2135	1482	1764
MSANTD3-TMEFF1	5	5	2	1	1	2	3	0	4
ENSG00000307729	3	0	1	1	1	1	3	0	1
TMEFF1	157	97	69	185	118	63	98	26	53
CAVIN4	144	167	432	344	104	369	260	244	434
RN7SKP87	0	0	0	0	0	0	0	0	0
ACTG1P19	0	0	0	0	0	0	0	0	0
ENSG00000297333	0	0	0	0	0	1	0	0	0
ENSG00000230161	0	0	0	0	0	0	0	0	0
GAPDHP26	0	0	0	0	0	0	0	0	0
ENSG00000295090	0	0	4	1	0	6	9	0	1
PLPPR1	68	70	55	342	166	255	405	250	309
TRPC6P4	0	0	1	0	0	0	0	0	0
ENSG00000295109	0	0	0	0	0	0	0	0	0
ENSG00000253041	0	0	0	0	0	0	0	0	0
ACNATP	0	0	0	0	0	0	0	0	0
ENSG00000309967	0	0	0	0	0	0	0	0	0
BAAT	3	6	5	18	6	14	13	22	12
TRMT112P4	0	0	0	0	0	0	0	0	0
ENSG00000230328	0	0	0	0	0	0	0	0	0
FYTTD1P1	0	0	0	0	0	0	1	0	0
MRPL50	1609	1637	1084	2831	1268	1685	3454	2902	2389
ZNF189	491	484	890	1004	499	1073	1356	783	1343
ALDOB	0	0	0	0	2	0	1	0	1
ENSG00000270982	0	0	0	0	0	0	0	0	0
ENSG00000299461	0	0	0	0	0	0	0	0	0
TMEM246-AS1	0	0	0	0	0	0	1	0	0
PGAP4	1756	1650	1356	2794	2066	2581	5043	2681	2328
ENSG00000233055	0	0	0	0	1	0	0	0	0
RNF20	2275	2140	2535	4623	1844	5020	5267	4177	5345
GRIN3A	1	0	0	78	2	18	7	46	8
PPP3R2	0	0	0	0	0	0	0	0	0
ENSG00000299588	0	0	0	0	0	0	0	0	0
MTND3P4	0	0	0	0	0	0	0	0	0
ARL2BPP7	0	0	0	0	0	0	0	0	0
ENSG00000296202	2	1	6	1	1	3	2	0	0
RNU6-329P	0	0	0	0	0	0	0	0	0
ENSG00000289079	0	0	0	0	0	0	0	0	0
ENSG00000286243	0	0	0	0	0	0	0	0	0
ENSG00000295687	0	1	0	0	1	0	0	2	0
CCSER2P1	0	0	0	0	0	0	0	0	0
LINC00587	0	0	0	0	0	0	0	2	0
ZYG11AP1	0	0	0	0	0	0	0	0	0
ENSG00000298247	0	0	0	0	0	0	0	0	0
ENSG00000307118	0	0	0	0	0	0	0	0	0
ENSG00000300529	0	0	0	0	0	0	0	0	0
ENSG00000234269	0	0	0	0	0	0	0	0	0
CYLC2	0	0	0	0	0	0	0	0	0
ENSG00000229830	0	0	0	0	0	0	0	0	0
LINC01492	0	0	0	0	0	0	0	0	1
ENSG00000226566	0	0	0	0	0	0	0	0	0
ENSG00000307505	0	0	0	0	0	1	0	0	0
RNA5SP291	0	0	0	0	0	0	0	0	0
ENSG00000299778	0	0	0	0	0	0	0	0	0
SMC2-DT	10	11	16	13	1	12	13	5	10
LINC03094	0	0	0	0	0	0	0	0	0
SMC2	2467	2206	2761	4317	1882	4961	6107	4645	7049
ENSG00000297079	2	2	6	3	5	7	5	1	9
ENSG00000297139	0	0	0	0	0	0	0	0	0
ENSG00000293400	0	0	0	0	0	0	0	0	0
TOPORSLP	0	0	0	0	0	0	0	0	0
ENSG00000203396	0	0	0	0	0	0	0	0	0
OR13F1	0	0	0	0	0	0	0	0	0
ENSG00000283001	0	0	0	0	0	0	0	0	0
OR13C4	0	0	0	0	0	0	0	0	0
OR13C3	0	0	0	0	0	0	0	0	0
OR13C8	0	0	0	0	0	0	0	0	0
OR13D2P	0	0	0	0	0	0	0	0	0
OR13C5	0	0	0	0	0	0	0	0	0
OR13C2	0	0	0	0	0	0	0	0	0
OR13C9	0	0	0	0	0	0	0	0	0
OR13I1P	0	0	0	0	0	0	0	0	0
ENSG00000290765	0	0	0	0	0	0	0	0	0
OR13C1P	0	0	0	0	0	0	0	0	0
ENSG00000297101	0	0	0	0	0	0	0	0	0
OR13D1	0	0	0	0	0	0	0	0	0
OR13D3P	0	0	0	0	0	0	0	0	0
NIPSNAP3A	323	341	318	616	403	436	725	514	446
NIPSNAP3B	18	21	33	39	19	59	116	60	55
ABCA1	256	229	1050	832	262	1287	827	785	921
ENSG00000306712	0	0	0	0	0	0	0	0	0
ENSG00000226334	1	6	9	5	6	16	5	1	1
CT70	3	0	3	1	0	1	5	1	0
ENSG00000299043	4	5	8	2	3	19	10	7	9
ENSG00000286536	64	49	83	160	15	112	54	93	43
RN7SKP191	0	0	0	0	0	0	0	0	0
SLC44A1	4343	4325	4259	8244	3621	7162	9151	6667	7651
ENSG00000289227	0	0	0	0	0	0	0	0	0
FSD1L	132	103	322	178	165	309	398	176	379
RALGAPA1P1	320	293	355	574	345	716	1141	852	907
FKTN-AS1	1	0	1	0	2	0	3	1	2
FKTN	830	733	1138	1454	700	1771	2481	1709	1739
ENSG00000279609	0	1	0	0	0	2	1	0	0
TAL2	0	1	10	5	1	5	2	0	7
TMEM38B	712	679	812	1530	647	1062	1372	1169	808
ENSG00000228366	0	0	0	8	0	0	7	2	0
DEPDC1P2	23	17	56	65	21	112	61	35	137
ENSG00000310433	0	0	0	0	0	0	0	0	0
SLC25A6P5	0	0	0	1	1	2	0	0	3
ENSG00000303675	0	0	1	0	1	0	0	0	1
ENSG00000303685	0	0	0	0	0	0	0	0	0
LINC01505	0	7	4	14	4	5	13	16	5
ENSG00000299785	0	0	0	0	0	0	0	0	0
ENSG00000225002	0	0	0	0	0	0	0	0	0
ENSG00000302742	0	0	0	0	0	0	0	0	0
ENSG00000229297	0	0	0	0	0	0	0	0	0
MIR8081	0	0	0	0	0	0	0	0	0
ENSG00000237062	0	0	0	0	0	0	0	0	0
RN7SKP77	0	0	0	0	0	0	0	0	0
ENSG00000302772	0	0	0	0	0	0	0	0	0
ENSG00000228143	0	0	0	1	0	0	1	0	1
ENSG00000309269	0	0	1	0	0	0	0	0	0
RNA5SP292	0	0	0	0	0	0	0	0	0
ENSG00000302724	7	8	25	12	5	26	20	9	36
ZNF462	1645	1166	3797	2927	1518	4879	5629	3403	8588
ENSG00000302701	10	11	41	23	6	72	18	21	109
ENSG00000230782	0	0	0	0	0	0	0	0	0
RPL7AP44	0	0	0	0	0	0	0	0	0
ENSG00000306039	0	0	0	0	0	0	0	0	0
ENSG00000223615	0	0	0	0	0	0	0	0	0
ENSG00000225531	13	7	16	30	18	33	29	15	17
ENSG00000226047	0	0	0	0	0	2	0	0	0
ENSG00000304997	1	0	1	0	0	0	3	2	1
ENSG00000226535	0	0	0	0	0	0	0	0	0
ENSG00000305014	0	0	0	1	0	0	0	0	0
RAD23B	8282	8500	10333	19532	7332	14909	19374	15577	15739
ENSG00000299203	0	0	1	0	0	1	1	0	0
ENSG00000309014	0	0	0	0	0	0	0	0	0
LINC01509	0	0	0	0	0	0	0	1	0
ENSG00000287233	0	0	0	0	0	0	0	0	0
HMGN2P32	0	0	0	0	0	1	0	0	0
RNU6-492P	0	0	0	0	0	0	0	0	0
KLF4	55	53	255	798	71	329	91	227	66
ENSG00000289987	0	2	1	3	0	0	0	0	0
ENSG00000308462	0	0	0	0	0	0	0	0	0
ENSG00000308445	0	0	0	0	0	0	0	0	0
ENSG00000236005	0	0	0	0	0	0	0	0	0
ENSG00000300342	0	0	0	0	0	0	0	0	0
PPIAP88	0	0	0	0	0	0	0	0	0
ENSG00000299632	0	0	0	0	0	0	0	0	0
ENSG00000301055	1	0	1	1	0	0	0	1	0
RNU6-996P	0	0	0	0	0	0	0	0	0
ENSG00000299606	0	0	0	1	0	1	2	0	0
ENSG00000304985	0	0	0	0	0	0	0	0	0
ENSG00000294077	0	0	0	0	0	0	0	0	0
ENSG00000301201	0	0	0	0	0	0	0	0	0
ENSG00000301188	0	0	0	0	0	0	0	0	0
ENSG00000295650	0	0	0	1	0	0	0	0	0
RNU6-1064P	0	0	0	0	0	0	0	0	0
ENSG00000302194	0	0	0	0	0	0	0	2	0
RN7SL659P	0	0	0	0	0	0	0	0	0
RPL36AP6	0	0	0	0	0	0	0	0	0
ENSG00000233727	0	0	0	0	0	0	0	0	0
RNA5SP293	0	0	0	0	0	0	0	0	0
ENSG00000303954	0	1	0	0	0	0	0	0	0
RPS15AP27	0	0	0	0	0	0	0	0	0
ENSG00000303967	0	0	6	1	0	0	0	0	0
RPL31P43	0	0	0	0	0	0	0	0	0
ENSG00000303981	0	1	2	0	0	2	0	0	2
CHCHD4P2	0	0	0	0	0	0	0	0	0
ENSG00000230030	0	0	0	0	0	1	0	0	0
ENSG00000303422	3	5	7	2	9	10	14	7	17
ENSG00000303441	0	0	0	0	0	1	0	0	1
ENSG00000307437	0	0	0	0	0	0	0	0	0
RPL36P14	1	2	0	32	1	1	33	13	0
ENSG00000231678	0	0	0	0	0	0	0	0	0
RPL36AP35	0	0	0	0	0	0	0	0	0
ENSG00000213556	0	0	0	0	0	0	0	0	0
ACTL7B	0	1	0	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0	0	0	0
ELP1	2231	2076	2595	3183	1644	3725	3786	2191	4442
ABITRAM	439	466	712	929	331	804	1605	1393	720
CTNNAL1	3298	3077	2832	4070	2239	4636	5550	3684	4415
TMEM245	3045	2830	3860	5011	3170	6412	8928	4852	6084
MIR32	0	0	0	0	0	1	0	0	0
FRRS1L	161	154	359	92	190	343	595	192	438
EPB41L4B	1110	1036	1189	1611	575	1597	1737	1638	1275
RNU6-984P	0	0	0	0	0	0	0	0	0
MTND2P11	0	0	0	0	0	0	0	0	0
PTPN3	214	157	547	291	126	342	362	185	273
PALM2AKAP2	2922	2678	3505	4868	2933	5724	9158	4659	9287
ENSG00000294633	0	0	0	0	0	0	1	0	0
MIR3927	0	0	0	0	0	0	0	0	0
YBX1P6	135	199	150	536	242	223	677	331	238
ENSG00000232939	1	1	0	0	0	0	0	0	0
ENSG00000309073	0	0	0	0	0	0	0	0	0
RPL21P87	0	2	0	5	0	0	4	1	0
ENSG00000302079	0	0	1	0	0	0	0	0	5
C9orf152	0	0	0	0	1	0	3	0	0
TXN	3343	3371	2955	6734	2433	5097	7807	8284	4671
ENSG00000302400	5	4	3	1	1	3	1	4	8
TXNDC8	0	0	0	0	0	0	0	0	0
ENSG00000307888	0	0	0	1	0	0	0	0	0
SVEP1	47	36	58	85	34	94	59	57	119
RNU6-1039P	0	0	0	0	0	0	0	0	0
ENSG00000232896	0	0	0	1	0	0	0	0	0
MUSK	0	3	1	0	4	0	11	6	0
ENSG00000223918	0	0	0	0	0	0	0	0	0
LPAR1	127	97	383	396	93	234	315	366	211
RNU6-432P	0	0	0	0	0	0	0	0	0
ENSG00000301611	0	0	7	6	0	5	3	4	2
ENSG00000301627	1	0	4	2	1	5	1	4	4
RNY4P18	0	0	0	0	0	0	0	0	0
ENSG00000227531	0	0	0	0	0	0	0	1	0
ENSG00000308512	0	0	0	0	0	0	0	0	0
MIR7702	0	0	0	0	0	0	0	0	0
OR2K2	0	0	0	0	0	0	0	0	0
ECPAS	6973	6141	7096	12139	4276	11887	11664	8743	12572
RNA5SP294	0	0	0	0	0	0	0	0	0
ZNF483	1746	1154	1031	2569	1158	3422	3519	2366	2454
PTGR1	1118	1028	1771	1913	989	2542	2326	1302	1588
ENSG00000224644	0	0	0	0	0	0	1	0	0
LRRC37A5P	9	11	18	23	15	39	71	13	20
DNAJC25	264	248	333	438	230	541	601	462	498
DNAJC25-GNG10	0	0	0	0	0	0	0	0	0
GNG10	3	2	1	0	2	0	1	0	0
SHOC1	0	0	0	1	1	1	0	0	0
ENSG00000293946	0	0	0	0	0	2	0	0	0
ENSG00000224067	0	0	0	0	0	0	0	0	0
ENSG00000297825	0	0	0	0	0	0	0	0	0
RNU6-1013P	0	0	0	0	0	0	0	0	0
ENSG00000309688	2	0	0	0	1	0	0	0	0
UGCG	1054	977	1113	2428	1047	2179	2590	1835	1561
MIR4668	0	0	1	0	0	0	0	0	0
ENSG00000299696	0	0	0	0	0	0	0	0	0
RNU6-710P	0	0	0	0	0	0	0	0	0
LINC02977	37	30	54	81	23	45	117	56	65
SUSD1	178	188	210	416	128	262	364	291	303
RNU6-855P	0	0	0	0	0	0	0	0	0
RPL29P20	0	0	1	1	0	1	1	0	1
PTBP3	6123	5714	6292	11146	4357	8764	13805	10741	6447
RN7SL57P	0	0	0	0	0	1	0	0	0
RNA5SP295	0	0	0	0	0	0	0	0	0
RN7SL430P	0	0	0	0	0	0	0	0	0
HSPE1P28	0	0	0	0	0	0	0	0	0
ENSG00000307073	0	0	1	1	1	2	5	0	3
RPL32P22	0	0	0	0	0	0	0	0	0
ENSG00000297814	6	1	15	4	10	21	15	8	11
HSDL2	1168	1072	1112	2181	1009	2331	3122	2247	2050
HSDL2-AS1	10	16	28	17	15	28	35	24	38
KIAA1958	1312	1126	2140	1565	1239	2604	3521	1655	2919
ENSG00000250068	0	0	0	0	0	0	0	0	0
ENSG00000294505	2	0	0	1	0	0	0	0	1
INIP	696	591	686	1275	685	1125	1868	1674	1114
SNX30-DT	3	5	13	7	2	9	7	6	3
SNX30	1054	1006	1645	1908	1069	2431	3004	1577	2134
SLC46A2	2	4	0	0	0	0	0	0	0
SLC46A2-AS1	0	0	0	1	0	2	0	1	4
ENSG00000291094	8	3	24	3	15	22	35	3	5
MUPP	0	0	1	0	0	6	3	2	0
ZNF883	309	207	368	418	199	726	794	644	962
ZFP37	193	233	369	322	263	551	735	365	612
ENSG00000285115	0	0	0	2	2	0	1	0	0
ENSG00000284763	0	0	0	0	0	0	0	0	0
ENSG00000284962	0	0	0	0	0	0	0	0	0
ENSG00000285076	0	0	0	0	0	0	0	0	0
ENSG00000284867	0	0	0	0	0	0	0	0	0
ENSG00000285370	0	0	0	0	0	0	0	0	0
FAM225B	0	0	0	0	1	3	1	0	0
FAM225A	3	0	3	1	2	2	7	0	4
SLC31A2	61	55	36	137	45	94	105	70	104
FKBP15	883	735	1028	1438	610	1532	1729	1027	1753
ENSG00000306272	0	0	0	0	0	0	0	0	0
SLC31A1	3592	3483	3460	6344	3152	6500	7395	5048	6169
CDC26	175	170	122	272	96	154	209	152	197
PRPF4	1909	1908	1966	3442	1405	3111	3197	2423	3858
RNF183	8	8	19	4	1	5	1	5	0
WDR31	61	51	129	64	83	186	211	70	140
BSPRY	262	258	374	476	54	345	92	198	43
HDHD3	334	267	455	424	307	490	349	119	626
ALAD	533	521	720	890	544	1046	1542	804	802
POLE3	2226	2223	2229	3931	1923	2870	5799	3974	3928
C9orf43	12	14	20	31	12	19	23	21	13
RGS3	714	705	1310	752	858	1411	1716	375	1302
ENSG00000237073	1	0	0	0	0	0	0	0	0
ENSG00000282897	0	0	0	0	0	0	0	0	0
ENSG00000233817	0	0	3	0	0	0	0	0	0
ENSG00000227482	4	5	8	6	6	6	6	4	1
C14orf119P1	0	0	0	0	0	0	0	0	0
ENSG00000232905	0	0	1	14	0	1	7	0	0
ENSG00000310133	0	0	1	0	0	0	4	0	0
ZNF618	1684	1415	2224	2461	1368	2431	3850	2184	4599
AMBP	25	36	30	28	28	32	63	9	56
ENSG00000294401	0	0	0	0	0	0	0	0	0
KIF12	85	67	123	107	31	156	41	20	47
ENSG00000304343	3	3	8	1	2	1	8	0	3
COL27A1	594	512	1114	1197	487	1862	1050	700	1509
MIR455	0	0	0	0	0	0	0	0	1
ENSG00000297028	0	0	0	0	0	0	0	0	0
ORM1	4	5	31	12	8	17	39	18	51
ORM2	10	14	50	22	13	36	51	40	97
AKNA	2151	1783	4635	3840	3874	7766	8872	2198	6394
ENSG00000298158	0	0	0	0	0	0	0	0	0
ENSG00000298561	1	0	0	0	0	0	1	0	4
ENSG00000235119	0	2	22	9	4	21	3	1	3
WHRN	368	273	388	1082	640	1275	1206	483	1094
ENSG00000271214	0	0	0	0	0	0	0	0	0
ENSG00000305362	0	0	0	0	0	0	0	0	0
ENSG00000235797	0	0	0	0	0	0	0	0	0
ATP6V1G1	3325	2869	3121	10589	3233	6688	9838	10485	6019
TMEM268	711	650	550	2189	630	1642	1883	1462	819
TEX53	0	0	0	0	0	0	0	0	0
ENSG00000294099	1	1	0	5	0	5	7	14	1
ENSG00000304356	0	0	0	0	0	0	0	0	0
TEX48	0	0	1	0	0	0	0	0	0
ENSG00000230284	0	0	0	0	0	0	0	0	0
ENSG00000274919	0	0	0	0	0	0	0	0	0
TNFSF15	14	9	9	12	2	10	12	4	11
ENSG00000301160	0	0	0	0	0	0	0	0	0
ENSG00000229817	0	0	0	1	0	0	0	1	1
DELEC1	18	21	0	1	0	0	0	0	0
TNFSF8	0	0	0	0	0	0	0	0	0
ENSG00000299819	0	0	0	0	0	0	0	0	0
TNC	1415	1056	397	217	183	437	521	189	346
ENSG00000307377	3	1	0	1	0	1	0	1	1
ENSG00000236461	0	1	0	0	0	0	0	0	0
ENSG00000234692	10	10	4	22	1	10	0	25	0
ENSG00000228714	0	0	0	1	0	0	0	1	0
ENSG00000293963	4	5	0	22	1	5	0	2	0
ENSG00000296984	0	3	0	2	0	3	0	3	0
ENSG00000308236	0	0	0	0	0	0	0	0	0
ENSG00000308189	0	0	0	1	0	0	2	3	0
LINC00474	0	2	1	13	1	1	1	27	0
ENSG00000228707	0	0	0	0	0	0	0	0	0
ENSG00000308256	0	0	0	0	0	0	0	0	0
ENSG00000299212	0	0	0	0	0	0	0	0	0
ENSG00000298241	0	0	0	0	0	0	0	0	0
PAPPA	90	72	1236	8	5	7	29	5	8
ENSG00000298257	0	0	0	0	0	0	0	0	0
PAPPA-AS2	0	0	0	0	2	0	1	0	0
ENSG00000244757	0	0	2	0	0	0	2	0	0
PAPPA-AS1	0	0	2	0	0	4	0	0	1
ASTN2	510	448	1267	716	557	1229	1061	341	1083
ASTN2-AS1	0	0	0	0	0	0	0	0	0
ENSG00000230894	0	0	0	0	0	0	0	0	0
ENSG00000308541	0	0	0	0	0	0	0	0	0
TRIM32	747	662	770	955	739	1078	1780	980	1225
ENSG00000285820	1	0	2	3	0	0	0	2	0
RPL10P3	2	1	0	43	0	0	87	39	1
SNORA70C	0	0	0	0	0	0	0	0	0
RN7SKP128	0	0	0	0	0	0	0	0	0
RN7SKP125	0	0	0	0	0	0	0	0	0
ENSG00000305268	0	0	0	0	0	0	0	0	0
ENSG00000233516	0	0	0	0	0	0	0	0	1
ENSG00000233569	0	0	0	0	0	0	0	0	0
RPL35AP22	0	0	0	0	0	0	0	0	0
ENSG00000285082	0	0	0	2	0	1	2	0	0
TLR4	54	58	17	21	104	34	274	73	11
RNU6-1082P	0	0	0	0	0	0	0	0	0
ENSG00000284977	0	0	0	0	0	2	1	0	0
ENSG00000294872	0	0	0	0	0	0	0	0	0
ENSG00000294815	0	0	0	0	0	0	0	0	0
ENSG00000231901	0	0	0	0	0	0	0	0	0
ENSG00000289735	0	0	0	0	0	0	0	0	0
ENSG00000294843	0	0	0	0	0	0	0	0	0
ENSG00000307874	0	0	0	2	0	0	0	0	0
ENSG00000289736	0	0	0	0	0	0	0	0	0
ENSG00000294316	0	0	0	0	0	0	0	0	0
TPT1P9	41	71	160	825	110	194	985	579	177
ENSG00000302872	0	0	0	0	0	0	0	0	0
ENSG00000300201	0	0	0	0	0	0	0	0	0
ENSG00000293785	0	0	0	0	0	0	0	0	0
ENSG00000225050	0	0	0	0	0	0	0	0	0
ENSG00000306621	0	0	0	0	0	0	0	0	0
LINC02578	0	0	0	0	0	0	0	0	0
TUBB4BP6	0	0	0	0	0	0	0	0	0
ENSG00000301712	0	0	0	0	0	0	0	0	0
ENSG00000302233	0	0	0	0	0	0	2	1	0
ENSG00000302252	0	0	0	0	0	0	0	0	0
BRINP1	1293	1166	534	1312	809	1773	1955	1109	1832
ENSG00000297716	0	0	0	0	0	0	0	0	0
ENSG00000297691	0	2	4	1	0	0	1	1	1
ENSG00000260970	0	0	0	0	0	0	0	0	0
ENSG00000297737	0	0	0	0	0	0	0	0	0
LINC01613	0	0	0	0	0	0	0	0	0
ENSG00000225960	0	0	0	0	0	0	0	0	0
ENSG00000299636	0	0	0	0	0	0	0	0	0
ENSG00000305111	0	0	0	0	0	0	0	0	0
ENSG00000309396	0	0	0	0	1	4	2	0	0
MIR147A	0	0	0	0	0	0	0	0	0
ENSG00000294948	1	0	7	3	1	1	4	0	2
ENSG00000301087	0	0	0	0	0	1	0	0	0
CDK5RAP2	1830	1609	3531	2769	1897	5298	5021	2109	7346
ENSG00000308949	0	0	0	0	0	0	0	0	0
MEGF9	120	108	146	90	127	182	304	156	196
ENSG00000304436	0	0	1	0	1	1	2	2	0
ENSG00000304828	1	1	3	0	5	0	2	0	5
AHCYP2	0	0	0	0	0	1	0	0	1
FBXW2	2455	2259	2036	4159	1858	3647	4937	3538	4037
B3GALT9	245	254	400	315	161	437	436	292	300
ENSG00000270917	4	2	4	0	0	0	0	0	0
PSMD5	1182	1100	2080	35	3	19	6	17	3
CUTALP	218	214	617	1	2	6	7	0	4
PHF19	681	599	1092	2043	669	1240	1360	747	1321
ENSG00000306516	0	0	0	0	0	0	1	0	0
TRAF1	59	47	220	60	66	161	177	57	115
C5	67	46	147	50	200	237	627	179	240
CNTRL	683	520	1452	549	577	1747	1863	754	1619
RAB14	2338	2337	1955	4650	2370	3808	5332	3490	4421
ENSG00000293945	4	5	5	6	3	12	11	5	5
RN7SL181P	3	1	2	0	0	0	1	0	3
GSN	2125	1822	1639	2445	4374	6038	6790	1483	6599
ENSG00000214651	0	0	0	0	0	0	0	0	0
ENSG00000303539	0	0	0	0	0	0	0	0	0
ENSG00000239593	0	0	0	0	0	0	0	0	1
GSN-AS1	0	0	0	0	0	1	0	0	3
STOM	1122	995	2775	1779	678	1046	1700	1187	1121
ENSG00000227355	11	8	8	13	4	9	14	11	20
GGTA1	1	0	0	0	3	2	12	5	3
RN7SL187P	0	0	0	0	0	0	0	0	0
ENSG00000293940	0	0	0	0	0	0	0	0	0
ENSG00000293886	0	0	0	4	0	1	5	3	0
HMGB1P37	0	0	0	0	0	0	0	0	0
DAB2IP	2356	2020	2382	3261	1868	3456	3459	1191	4697
ENSG00000229854	0	0	0	0	0	0	0	0	0
ENSG00000293923	0	0	0	0	0	0	0	0	0
ENSG00000296031	0	0	0	0	0	0	0	0	0
TTLL11	27	38	34	84	31	65	120	59	101
ENSG00000298078	0	0	0	0	0	0	0	0	0
ENSG00000301342	1	1	1	2	0	1	0	0	0
MIR4478	0	0	0	0	0	0	0	0	0
NDUFA8	865	941	984	2633	1022	2254	1879	1376	2202
MORN5	0	0	2	1	1	1	1	2	0
LHX6	59	61	78	109	70	70	173	81	73
RBM18	489	456	576	985	518	1050	1516	994	991
MRRF	982	980	884	2070	711	1694	1865	1444	1680
PTGS1	169	145	412	115	228	250	525	181	256
ENSG00000269970	0	0	1	4	0	0	1	2	0
ENSG00000233616	0	0	0	0	0	0	0	0	0
ENSG00000234156	1	2	4	1	1	4	2	1	3
OR1J1	0	0	0	0	0	0	0	0	0
OR1J2	0	0	0	0	0	0	0	0	0
OR1J4	0	0	0	0	0	1	0	0	0
OR1N1	0	0	0	0	0	0	0	0	0
OR1N2	0	0	0	0	0	0	0	0	0
OR1L8	0	1	1	0	2	1	0	0	1
OR1H1P	0	0	0	0	0	0	0	0	0
OR1Q1	0	0	0	0	0	0	0	0	0
OR1B1	0	1	0	1	0	1	0	0	0
OR1L1	0	0	0	0	0	0	0	0	0
OR1L3	0	0	0	0	0	0	0	0	0
TLK1P1	1	1	3	15	0	2	16	3	2
OR1L4	0	0	0	0	0	0	0	0	0
OR1L6	0	0	0	0	0	0	0	0	0
SKA2P1	119	138	138	229	128	180	479	250	230
OR5C1	0	0	0	0	0	0	0	0	0
PDCL	626	640	872	1191	566	1435	1494	907	1588
OR1K1	0	0	0	0	0	0	0	0	0
KRT18P67	0	0	0	0	0	0	0	2	0
RC3H2	1038	935	1675	1905	887	2503	2307	1701	2561
SNORD90	0	0	0	0	0	0	0	0	0
ZBTB6	464	465	597	896	347	777	971	845	843
ZBTB26	364	372	479	534	357	806	944	549	775
ENSG00000261094	63	47	75	56	28	113	113	76	106
ENSG00000286718	4	1	4	7	4	5	2	2	3
RABGAP1	1297	1044	1954	2056	1375	2926	4206	2224	3032
RNY1P15	0	0	0	0	0	0	0	0	0
ENSG00000213216	1	0	0	11	0	0	32	26	0
