""	WT_1	WT_2	WT_3	Y2_1	Y2_2	Y2_3	YT_1	YT_2	YT_3
ENSG00000297101	0	0	0	0	0	0	0	0	0
OR13D1	0	0	0	0	0	0	0	0	0
OR13D3P	0	0	0	0	0	0	0	0	0
NIPSNAP3A	323	341	318	616	514	436	725	403	446
NIPSNAP3B	18	21	33	39	60	59	116	19	55
ABCA1	256	229	1050	832	785	1287	827	262	921
ENSG00000306712	0	0	0	0	0	0	0	0	0
ENSG00000226334	1	6	9	5	1	16	5	6	1
CT70	3	0	3	1	1	1	5	0	0
ENSG00000299043	4	5	8	2	7	19	10	3	9
ENSG00000286536	64	49	83	160	93	112	54	15	43
RN7SKP191	0	0	0	0	0	0	0	0	0
SLC44A1	4343	4325	4259	8244	6667	7162	9151	3621	7651
ENSG00000289227	0	0	0	0	0	0	0	0	0
FSD1L	132	103	322	178	176	309	398	165	379
RALGAPA1P1	320	293	355	574	852	716	1141	345	907
FKTN-AS1	1	0	1	0	1	0	3	2	2
FKTN	830	733	1138	1454	1709	1771	2481	700	1739
ENSG00000279609	0	1	0	0	0	2	1	0	0
TAL2	0	1	10	5	0	5	2	1	7
TMEM38B	712	679	812	1530	1169	1062	1372	647	808
ENSG00000228366	0	0	0	8	2	0	7	0	0
DEPDC1P2	23	17	56	65	35	112	61	21	137
ENSG00000310433	0	0	0	0	0	0	0	0	0
SLC25A6P5	0	0	0	1	0	2	0	1	3
ENSG00000303675	0	0	1	0	0	0	0	1	1
ENSG00000303685	0	0	0	0	0	0	0	0	0
LINC01505	0	7	4	14	16	5	13	4	5
ENSG00000299785	0	0	0	0	0	0	0	0	0
ENSG00000225002	0	0	0	0	0	0	0	0	0
ENSG00000302742	0	0	0	0	0	0	0	0	0
ENSG00000229297	0	0	0	0	0	0	0	0	0
MIR8081	0	0	0	0	0	0	0	0	0
ENSG00000237062	0	0	0	0	0	0	0	0	0
RN7SKP77	0	0	0	0	0	0	0	0	0
ENSG00000302772	0	0	0	0	0	0	0	0	0
ENSG00000228143	0	0	0	1	0	0	1	0	1
ENSG00000309269	0	0	1	0	0	0	0	0	0
RNA5SP292	0	0	0	0	0	0	0	0	0
ENSG00000302724	7	8	25	12	9	26	20	5	36
ZNF462	1645	1166	3797	2927	3403	4879	5629	1518	8588
ENSG00000302701	10	11	41	23	21	72	18	6	109
ENSG00000230782	0	0	0	0	0	0	0	0	0
RPL7AP44	0	0	0	0	0	0	0	0	0
ENSG00000306039	0	0	0	0	0	0	0	0	0
ENSG00000223615	0	0	0	0	0	0	0	0	0
ENSG00000225531	13	7	16	30	15	33	29	18	17
ENSG00000226047	0	0	0	0	0	2	0	0	0
ENSG00000304997	1	0	1	0	2	0	3	0	1
ENSG00000226535	0	0	0	0	0	0	0	0	0
ENSG00000305014	0	0	0	1	0	0	0	0	0
RAD23B	8282	8500	10333	19532	15577	14909	19374	7332	15739
ENSG00000299203	0	0	1	0	0	1	1	0	0
ENSG00000309014	0	0	0	0	0	0	0	0	0
LINC01509	0	0	0	0	1	0	0	0	0
ENSG00000287233	0	0	0	0	0	0	0	0	0
HMGN2P32	0	0	0	0	0	1	0	0	0
RNU6-492P	0	0	0	0	0	0	0	0	0
KLF4	55	53	255	798	227	329	91	71	66
ENSG00000289987	0	2	1	3	0	0	0	0	0
ENSG00000308462	0	0	0	0	0	0	0	0	0
ENSG00000308445	0	0	0	0	0	0	0	0	0
ENSG00000236005	0	0	0	0	0	0	0	0	0
ENSG00000300342	0	0	0	0	0	0	0	0	0
PPIAP88	0	0	0	0	0	0	0	0	0
ENSG00000299632	0	0	0	0	0	0	0	0	0
ENSG00000301055	1	0	1	1	1	0	0	0	0
RNU6-996P	0	0	0	0	0	0	0	0	0
ENSG00000299606	0	0	0	1	0	1	2	0	0
ENSG00000304985	0	0	0	0	0	0	0	0	0
ENSG00000294077	0	0	0	0	0	0	0	0	0
ENSG00000301201	0	0	0	0	0	0	0	0	0
ENSG00000301188	0	0	0	0	0	0	0	0	0
ENSG00000295650	0	0	0	1	0	0	0	0	0
RNU6-1064P	0	0	0	0	0	0	0	0	0
ENSG00000302194	0	0	0	0	2	0	0	0	0
RN7SL659P	0	0	0	0	0	0	0	0	0
RPL36AP6	0	0	0	0	0	0	0	0	0
ENSG00000233727	0	0	0	0	0	0	0	0	0
RNA5SP293	0	0	0	0	0	0	0	0	0
ENSG00000303954	0	1	0	0	0	0	0	0	0
RPS15AP27	0	0	0	0	0	0	0	0	0
ENSG00000303967	0	0	6	1	0	0	0	0	0
RPL31P43	0	0	0	0	0	0	0	0	0
ENSG00000303981	0	1	2	0	0	2	0	0	2
CHCHD4P2	0	0	0	0	0	0	0	0	0
ENSG00000230030	0	0	0	0	0	1	0	0	0
ENSG00000303422	3	5	7	2	7	10	14	9	17
ENSG00000303441	0	0	0	0	0	1	0	0	1
ENSG00000307437	0	0	0	0	0	0	0	0	0
RPL36P14	1	2	0	32	13	1	33	1	0
ENSG00000231678	0	0	0	0	0	0	0	0	0
RPL36AP35	0	0	0	0	0	0	0	0	0
ENSG00000213556	0	0	0	0	0	0	0	0	0
ACTL7B	0	1	0	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0	0	0	0
ELP1	2231	2076	2595	3183	2191	3725	3786	1644	4442
ABITRAM	439	466	712	929	1393	804	1605	331	720
CTNNAL1	3298	3077	2832	4070	3684	4636	5550	2239	4415
TMEM245	3045	2830	3860	5011	4852	6412	8928	3170	6084
MIR32	0	0	0	0	0	1	0	0	0
FRRS1L	161	154	359	92	192	343	595	190	438
EPB41L4B	1110	1036	1189	1611	1638	1597	1737	575	1275
RNU6-984P	0	0	0	0	0	0	0	0	0
MTND2P11	0	0	0	0	0	0	0	0	0
PTPN3	214	157	547	291	185	342	362	126	273
PALM2AKAP2	2922	2678	3505	4868	4659	5724	9158	2933	9287
ENSG00000294633	0	0	0	0	0	0	1	0	0
MIR3927	0	0	0	0	0	0	0	0	0
YBX1P6	135	199	150	536	331	223	677	242	238
ENSG00000232939	1	1	0	0	0	0	0	0	0
ENSG00000309073	0	0	0	0	0	0	0	0	0
RPL21P87	0	2	0	5	1	0	4	0	0
ENSG00000302079	0	0	1	0	0	0	0	0	5
C9orf152	0	0	0	0	0	0	3	1	0
TXN	3343	3371	2955	6734	8284	5097	7807	2433	4671
ENSG00000302400	5	4	3	1	4	3	1	1	8
TXNDC8	0	0	0	0	0	0	0	0	0
ENSG00000307888	0	0	0	1	0	0	0	0	0
SVEP1	47	36	58	85	57	94	59	34	119
RNU6-1039P	0	0	0	0	0	0	0	0	0
ENSG00000232896	0	0	0	1	0	0	0	0	0
MUSK	0	3	1	0	6	0	11	4	0
ENSG00000223918	0	0	0	0	0	0	0	0	0
LPAR1	127	97	383	396	366	234	315	93	211
RNU6-432P	0	0	0	0	0	0	0	0	0
ENSG00000301611	0	0	7	6	4	5	3	0	2
ENSG00000301627	1	0	4	2	4	5	1	1	4
RNY4P18	0	0	0	0	0	0	0	0	0
ENSG00000227531	0	0	0	0	1	0	0	0	0
ENSG00000308512	0	0	0	0	0	0	0	0	0
MIR7702	0	0	0	0	0	0	0	0	0
OR2K2	0	0	0	0	0	0	0	0	0
ECPAS	6973	6141	7096	12139	8743	11887	11664	4276	12572
RNA5SP294	0	0	0	0	0	0	0	0	0
ZNF483	1746	1154	1031	2569	2366	3422	3519	1158	2454
PTGR1	1118	1028	1771	1913	1302	2542	2326	989	1588
ENSG00000224644	0	0	0	0	0	0	1	0	0
LRRC37A5P	9	11	18	23	13	39	71	15	20
DNAJC25	264	248	333	438	462	541	601	230	498
DNAJC25-GNG10	0	0	0	0	0	0	0	0	0
GNG10	3	2	1	0	0	0	1	2	0
SHOC1	0	0	0	1	0	1	0	1	0
ENSG00000293946	0	0	0	0	0	2	0	0	0
ENSG00000224067	0	0	0	0	0	0	0	0	0
ENSG00000297825	0	0	0	0	0	0	0	0	0
RNU6-1013P	0	0	0	0	0	0	0	0	0
ENSG00000309688	2	0	0	0	0	0	0	1	0
UGCG	1054	977	1113	2428	1835	2179	2590	1047	1561
MIR4668	0	0	1	0	0	0	0	0	0
ENSG00000299696	0	0	0	0	0	0	0	0	0
RNU6-710P	0	0	0	0	0	0	0	0	0
LINC02977	37	30	54	81	56	45	117	23	65
SUSD1	178	188	210	416	291	262	364	128	303
RNU6-855P	0	0	0	0	0	0	0	0	0
RPL29P20	0	0	1	1	0	1	1	0	1
PTBP3	6123	5714	6292	11146	10741	8764	13805	4357	6447
RN7SL57P	0	0	0	0	0	1	0	0	0
RNA5SP295	0	0	0	0	0	0	0	0	0
RN7SL430P	0	0	0	0	0	0	0	0	0
HSPE1P28	0	0	0	0	0	0	0	0	0
ENSG00000307073	0	0	1	1	0	2	5	1	3
RPL32P22	0	0	0	0	0	0	0	0	0
ENSG00000297814	6	1	15	4	8	21	15	10	11
HSDL2	1168	1072	1112	2181	2247	2331	3122	1009	2050
HSDL2-AS1	10	16	28	17	24	28	35	15	38
KIAA1958	1312	1126	2140	1565	1655	2604	3521	1239	2919
ENSG00000250068	0	0	0	0	0	0	0	0	0
ENSG00000294505	2	0	0	1	0	0	0	0	1
INIP	696	591	686	1275	1674	1125	1868	685	1114
SNX30-DT	3	5	13	7	6	9	7	2	3
SNX30	1054	1006	1645	1908	1577	2431	3004	1069	2134
SLC46A2	2	4	0	0	0	0	0	0	0
SLC46A2-AS1	0	0	0	1	1	2	0	0	4
ENSG00000291094	8	3	24	3	3	22	35	15	5
MUPP	0	0	1	0	2	6	3	0	0
ZNF883	309	207	368	418	644	726	794	199	962
ZFP37	193	233	369	322	365	551	735	263	612
ENSG00000285115	0	0	0	2	0	0	1	2	0
ENSG00000284763	0	0	0	0	0	0	0	0	0
ENSG00000284962	0	0	0	0	0	0	0	0	0
ENSG00000285076	0	0	0	0	0	0	0	0	0
ENSG00000284867	0	0	0	0	0	0	0	0	0
ENSG00000285370	0	0	0	0	0	0	0	0	0
FAM225B	0	0	0	0	0	3	1	1	0
FAM225A	3	0	3	1	0	2	7	2	4
SLC31A2	61	55	36	137	70	94	105	45	104
FKBP15	883	735	1028	1438	1027	1532	1729	610	1753
ENSG00000306272	0	0	0	0	0	0	0	0	0
SLC31A1	3592	3483	3460	6344	5048	6500	7395	3152	6169
CDC26	175	170	122	272	152	154	209	96	197
PRPF4	1909	1908	1966	3442	2423	3111	3197	1405	3858
RNF183	8	8	19	4	5	5	1	1	0
WDR31	61	51	129	64	70	186	211	83	140
BSPRY	262	258	374	476	198	345	92	54	43
HDHD3	334	267	455	424	119	490	349	307	626
ALAD	533	521	720	890	804	1046	1542	544	802
POLE3	2226	2223	2229	3931	3974	2870	5799	1923	3928
C9orf43	12	14	20	31	21	19	23	12	13
RGS3	714	705	1310	752	375	1411	1716	858	1302
ENSG00000237073	1	0	0	0	0	0	0	0	0
ENSG00000282897	0	0	0	0	0	0	0	0	0
ENSG00000233817	0	0	3	0	0	0	0	0	0
ENSG00000227482	4	5	8	6	4	6	6	6	1
C14orf119P1	0	0	0	0	0	0	0	0	0
ENSG00000232905	0	0	1	14	0	1	7	0	0
ENSG00000310133	0	0	1	0	0	0	4	0	0
ZNF618	1684	1415	2224	2461	2184	2431	3850	1368	4599
AMBP	25	36	30	28	9	32	63	28	56
ENSG00000294401	0	0	0	0	0	0	0	0	0
KIF12	85	67	123	107	20	156	41	31	47
ENSG00000304343	3	3	8	1	0	1	8	2	3
COL27A1	594	512	1114	1197	700	1862	1050	487	1509
MIR455	0	0	0	0	0	0	0	0	1
ENSG00000297028	0	0	0	0	0	0	0	0	0
ORM1	4	5	31	12	18	17	39	8	51
ORM2	10	14	50	22	40	36	51	13	97
AKNA	2151	1783	4635	3840	2198	7766	8872	3874	6394
ENSG00000298158	0	0	0	0	0	0	0	0	0
ENSG00000298561	1	0	0	0	0	0	1	0	4
ENSG00000235119	0	2	22	9	1	21	3	4	3
WHRN	368	273	388	1082	483	1275	1206	640	1094
ENSG00000271214	0	0	0	0	0	0	0	0	0
ENSG00000305362	0	0	0	0	0	0	0	0	0
ENSG00000235797	0	0	0	0	0	0	0	0	0
ATP6V1G1	3325	2869	3121	10589	10485	6688	9838	3233	6019
TMEM268	711	650	550	2189	1462	1642	1883	630	819
TEX53	0	0	0	0	0	0	0	0	0
ENSG00000294099	1	1	0	5	14	5	7	0	1
ENSG00000304356	0	0	0	0	0	0	0	0	0
TEX48	0	0	1	0	0	0	0	0	0
ENSG00000230284	0	0	0	0	0	0	0	0	0
ENSG00000274919	0	0	0	0	0	0	0	0	0
TNFSF15	14	9	9	12	4	10	12	2	11
ENSG00000301160	0	0	0	0	0	0	0	0	0
ENSG00000229817	0	0	0	1	1	0	0	0	1
DELEC1	18	21	0	1	0	0	0	0	0
TNFSF8	0	0	0	0	0	0	0	0	0
ENSG00000299819	0	0	0	0	0	0	0	0	0
TNC	1415	1056	397	217	189	437	521	183	346
ENSG00000307377	3	1	0	1	1	1	0	0	1
ENSG00000236461	0	1	0	0	0	0	0	0	0
ENSG00000234692	10	10	4	22	25	10	0	1	0
ENSG00000228714	0	0	0	1	1	0	0	0	0
ENSG00000293963	4	5	0	22	2	5	0	1	0
ENSG00000296984	0	3	0	2	3	3	0	0	0
ENSG00000308236	0	0	0	0	0	0	0	0	0
ENSG00000308189	0	0	0	1	3	0	2	0	0
LINC00474	0	2	1	13	27	1	1	1	0
ENSG00000228707	0	0	0	0	0	0	0	0	0
ENSG00000308256	0	0	0	0	0	0	0	0	0
ENSG00000299212	0	0	0	0	0	0	0	0	0
ENSG00000298241	0	0	0	0	0	0	0	0	0
PAPPA	90	72	1236	8	5	7	29	5	8
ENSG00000298257	0	0	0	0	0	0	0	0	0
PAPPA-AS2	0	0	0	0	0	0	1	2	0
ENSG00000244757	0	0	2	0	0	0	2	0	0
PAPPA-AS1	0	0	2	0	0	4	0	0	1
ASTN2	510	448	1267	716	341	1229	1061	557	1083
ASTN2-AS1	0	0	0	0	0	0	0	0	0
ENSG00000230894	0	0	0	0	0	0	0	0	0
ENSG00000308541	0	0	0	0	0	0	0	0	0
TRIM32	747	662	770	955	980	1078	1780	739	1225
ENSG00000285820	1	0	2	3	2	0	0	0	0
RPL10P3	2	1	0	43	39	0	87	0	1
SNORA70C	0	0	0	0	0	0	0	0	0
RN7SKP128	0	0	0	0	0	0	0	0	0
RN7SKP125	0	0	0	0	0	0	0	0	0
ENSG00000305268	0	0	0	0	0	0	0	0	0
ENSG00000233516	0	0	0	0	0	0	0	0	1
ENSG00000233569	0	0	0	0	0	0	0	0	0
RPL35AP22	0	0	0	0	0	0	0	0	0
ENSG00000285082	0	0	0	2	0	1	2	0	0
TLR4	54	58	17	21	73	34	274	104	11
RNU6-1082P	0	0	0	0	0	0	0	0	0
ENSG00000284977	0	0	0	0	0	2	1	0	0
ENSG00000294872	0	0	0	0	0	0	0	0	0
ENSG00000294815	0	0	0	0	0	0	0	0	0
ENSG00000231901	0	0	0	0	0	0	0	0	0
ENSG00000289735	0	0	0	0	0	0	0	0	0
ENSG00000294843	0	0	0	0	0	0	0	0	0
ENSG00000307874	0	0	0	2	0	0	0	0	0
ENSG00000289736	0	0	0	0	0	0	0	0	0
ENSG00000294316	0	0	0	0	0	0	0	0	0
TPT1P9	41	71	160	825	579	194	985	110	177
ENSG00000302872	0	0	0	0	0	0	0	0	0
ENSG00000300201	0	0	0	0	0	0	0	0	0
ENSG00000293785	0	0	0	0	0	0	0	0	0
ENSG00000225050	0	0	0	0	0	0	0	0	0
ENSG00000306621	0	0	0	0	0	0	0	0	0
LINC02578	0	0	0	0	0	0	0	0	0
TUBB4BP6	0	0	0	0	0	0	0	0	0
ENSG00000301712	0	0	0	0	0	0	0	0	0
ENSG00000302233	0	0	0	0	1	0	2	0	0
ENSG00000302252	0	0	0	0	0	0	0	0	0
BRINP1	1293	1166	534	1312	1109	1773	1955	809	1832
ENSG00000297716	0	0	0	0	0	0	0	0	0
ENSG00000297691	0	2	4	1	1	0	1	0	1
ENSG00000260970	0	0	0	0	0	0	0	0	0
ENSG00000297737	0	0	0	0	0	0	0	0	0
LINC01613	0	0	0	0	0	0	0	0	0
ENSG00000225960	0	0	0	0	0	0	0	0	0
ENSG00000299636	0	0	0	0	0	0	0	0	0
ENSG00000305111	0	0	0	0	0	0	0	0	0
ENSG00000309396	0	0	0	0	0	4	2	1	0
MIR147A	0	0	0	0	0	0	0	0	0
ENSG00000294948	1	0	7	3	0	1	4	1	2
ENSG00000301087	0	0	0	0	0	1	0	0	0
CDK5RAP2	1830	1609	3531	2769	2109	5298	5021	1897	7346
ENSG00000308949	0	0	0	0	0	0	0	0	0
MEGF9	120	108	146	90	156	182	304	127	196
ENSG00000304436	0	0	1	0	2	1	2	1	0
ENSG00000304828	1	1	3	0	0	0	2	5	5
AHCYP2	0	0	0	0	0	1	0	0	1
FBXW2	2455	2259	2036	4159	3538	3647	4937	1858	4037
B3GALT9	245	254	400	315	292	437	436	161	300
ENSG00000270917	4	2	4	0	0	0	0	0	0
PSMD5	1182	1100	2080	35	17	19	6	3	3
CUTALP	218	214	617	1	0	6	7	2	4
PHF19	681	599	1092	2043	747	1240	1360	669	1321
ENSG00000306516	0	0	0	0	0	0	1	0	0
TRAF1	59	47	220	60	57	161	177	66	115
C5	67	46	147	50	179	237	627	200	240
CNTRL	683	520	1452	549	754	1747	1863	577	1619
RAB14	2338	2337	1955	4650	3490	3808	5332	2370	4421
ENSG00000293945	4	5	5	6	5	12	11	3	5
RN7SL181P	3	1	2	0	0	0	1	0	3
GSN	2125	1822	1639	2445	1483	6038	6790	4374	6599
ENSG00000214651	0	0	0	0	0	0	0	0	0
ENSG00000303539	0	0	0	0	0	0	0	0	0
ENSG00000239593	0	0	0	0	0	0	0	0	1
GSN-AS1	0	0	0	0	0	1	0	0	3
STOM	1122	995	2775	1779	1187	1046	1700	678	1121
ENSG00000227355	11	8	8	13	11	9	14	4	20
GGTA1	1	0	0	0	5	2	12	3	3
RN7SL187P	0	0	0	0	0	0	0	0	0
ENSG00000293940	0	0	0	0	0	0	0	0	0
ENSG00000293886	0	0	0	4	3	1	5	0	0
HMGB1P37	0	0	0	0	0	0	0	0	0
DAB2IP	2356	2020	2382	3261	1191	3456	3459	1868	4697
ENSG00000229854	0	0	0	0	0	0	0	0	0
ENSG00000293923	0	0	0	0	0	0	0	0	0
ENSG00000296031	0	0	0	0	0	0	0	0	0
TTLL11	27	38	34	84	59	65	120	31	101
ENSG00000298078	0	0	0	0	0	0	0	0	0
ENSG00000301342	1	1	1	2	0	1	0	0	0
MIR4478	0	0	0	0	0	0	0	0	0
NDUFA8	865	941	984	2633	1376	2254	1879	1022	2202
MORN5	0	0	2	1	2	1	1	1	0
LHX6	59	61	78	109	81	70	173	70	73
RBM18	489	456	576	985	994	1050	1516	518	991
MRRF	982	980	884	2070	1444	1694	1865	711	1680
PTGS1	169	145	412	115	181	250	525	228	256
ENSG00000269970	0	0	1	4	2	0	1	0	0
ENSG00000233616	0	0	0	0	0	0	0	0	0
ENSG00000234156	1	2	4	1	1	4	2	1	3
OR1J1	0	0	0	0	0	0	0	0	0
OR1J2	0	0	0	0	0	0	0	0	0
OR1J4	0	0	0	0	0	1	0	0	0
OR1N1	0	0	0	0	0	0	0	0	0
OR1N2	0	0	0	0	0	0	0	0	0
OR1L8	0	1	1	0	0	1	0	2	1
OR1H1P	0	0	0	0	0	0	0	0	0
OR1Q1	0	0	0	0	0	0	0	0	0
OR1B1	0	1	0	1	0	1	0	0	0
OR1L1	0	0	0	0	0	0	0	0	0
OR1L3	0	0	0	0	0	0	0	0	0
TLK1P1	1	1	3	15	3	2	16	0	2
OR1L4	0	0	0	0	0	0	0	0	0
OR1L6	0	0	0	0	0	0	0	0	0
SKA2P1	119	138	138	229	250	180	479	128	230
OR5C1	0	0	0	0	0	0	0	0	0
PDCL	626	640	872	1191	907	1435	1494	566	1588
OR1K1	0	0	0	0	0	0	0	0	0
KRT18P67	0	0	0	0	2	0	0	0	0
RC3H2	1038	935	1675	1905	1701	2503	2307	887	2561
SNORD90	0	0	0	0	0	0	0	0	0
ZBTB6	464	465	597	896	845	777	971	347	843
ZBTB26	364	372	479	534	549	806	944	357	775
ENSG00000261094	63	47	75	56	76	113	113	28	106
ENSG00000286718	4	1	4	7	2	5	2	4	3
RABGAP1	1297	1044	1954	2056	2224	2926	4206	1375	3032
RNY1P15	0	0	0	0	0	0	0	0	0
ENSG00000213216	1	0	0	11	26	0	32	0	0
GPR21	0	1	0	0	0	1	0	0	0
ENSG00000225078	0	0	0	0	0	0	0	0	0
MIR600HG	756	461	940	748	401	1075	1114	571	970
STRBP	4110	4055	4111	6656	5478	7251	7788	2741	6212
MIR600	0	0	0	0	0	0	0	0	0
ENSG00000301211	0	0	0	0	0	0	0	0	0
ENSG00000308893	0	0	0	0	0	0	0	0	0
ENSG00000310003	0	0	0	0	0	0	0	0	0
ENSG00000298893	1	2	4	1	0	0	1	2	1
CRB2	512	428	1459	264	101	849	615	566	1684
DENND1A	1645	1499	1434	1314	1067	1969	2669	1175	2079
MIR601	1	0	1	0	0	0	0	2	1
MIR7150	0	0	0	0	0	0	0	0	0
ENSG00000237336	0	0	0	0	0	0	0	0	0
ENSG00000230826	0	0	0	0	0	0	0	0	0
ENSG00000229115	0	0	0	0	0	0	0	0	0
PIGFP2	0	0	0	0	0	0	0	0	0
ENSG00000309798	0	0	0	0	0	0	0	0	0
ENSG00000309565	0	0	0	0	0	0	0	0	0
ENSG00000309586	0	0	0	0	0	0	0	0	0
LHX2	43	23	25	42	50	63	40	20	6
LHX2-AS1	1	0	0	1	0	2	0	0	0
ENSG00000294309	0	0	0	0	0	2	0	0	0
ENSG00000231227	0	0	0	0	0	1	0	0	0
ENSG00000234921	0	0	0	0	0	0	0	0	0
ENSG00000308378	0	0	0	0	0	0	0	0	0
ENSG00000308400	0	0	0	0	0	0	0	0	0
ENSG00000296076	0	0	0	0	0	0	0	0	0
ENSG00000303651	0	0	0	0	0	0	0	0	0
ENSG00000298414	0	0	0	0	0	0	0	0	0
ENSG00000306523	0	0	0	0	0	0	0	0	0
NEK6	699	638	894	957	742	1088	1274	498	942
ENSG00000235204	0	0	0	0	0	0	0	0	0
ENSG00000227200	2	0	2	1	0	4	0	0	0
ENSG00000301804	0	0	0	0	0	0	0	0	0
PSMB7	5472	5139	3576	13078	8534	7213	12106	5244	7830
ADGRD2	8	14	50	11	9	54	28	10	27
NR5A1	12	10	71	51	21	55	34	15	17
ENSG00000310239	0	2	3	1	1	3	1	0	1
ENSG00000231149	3	1	2	0	0	3	0	0	5
NR6A1	15239	13330	13050	9465	11376	21901	43661	17025	29130
ENSG00000231744	0	2	2	5	1	6	6	2	3
RN7SL302P	0	0	0	0	0	0	0	0	0
MIR181A2HG	5	0	0	1	3	7	15	5	3
MIR181A2	0	0	0	0	0	0	0	0	0
MIR181B2	0	0	0	0	0	0	0	0	0
ENSG00000236643	23	31	22	10	34	32	50	15	28
OLFML2A	957	878	1461	437	503	1214	2371	1014	1613
ENSG00000296507	1	2	2	2	6	2	10	2	0
WDR38	0	1	1	1	0	0	2	0	1
RPL35	9326	8423	15632	24288	16407	22646	31048	9124	18552
ARPC5L	1287	1237	1317	2853	1593	2218	2215	1049	1894
ENSG00000289285	28	28	9	18	10	24	22	10	25
GOLGA1	255	242	407	515	353	675	539	195	567
RNU4-82P	0	0	1	0	0	0	0	0	1
ENSG00000296510	0	0	2	0	2	6	2	0	2
ENSG00000293924	0	0	0	1	0	7	0	1	0
SCAI	568	521	791	672	697	1032	1143	395	826
FXNP2	0	0	2	3	2	1	3	0	0
PPP6C	2724	2614	2292	5319	5548	3646	6871	2240	3243
PRPS1P2	1	1	0	23	7	0	12	0	0
RPSAP76	0	0	0	0	0	0	0	0	0
ENSG00000300577	0	2	1	0	0	3	0	0	1
RABEPK	834	805	714	1429	1166	1296	1458	661	1299
HSPA5	23967	23459	14782	35365	19782	20914	21700	10154	34148
HSPA5-DT	0	0	0	2	7	3	0	0	1
GAPVD1	1539	1305	1443	2624	2233	2773	3184	998	3207
ENSG00000214593	0	0	0	2	2	0	0	0	0
RNU6-1020P	0	0	0	0	0	0	0	0	0
ENSG00000227845	0	0	0	0	0	0	0	0	0
ENSG00000297528	0	0	0	0	0	0	0	0	2
ENSG00000297553	1	1	5	4	0	13	12	3	0
ENSG00000287782	0	0	6	2	1	12	1	0	10
MAPKAP1	4756	4551	4303	9059	8048	9004	10004	3673	7038
RN7SL30P	0	0	0	0	0	0	0	0	0
ENSG00000227068	0	0	0	0	0	0	0	0	0
HNRNPA1P15	0	0	0	11	1	0	2	0	0
PBX3-DT	3	4	4	1	2	3	3	0	0
ENSG00000305705	0	0	0	0	0	0	0	0	0
PBX3	1365	1225	1535	3253	5468	3618	8404	2600	3870
ENSG00000308237	0	0	0	0	0	0	0	0	0
ENSG00000232413	0	0	0	0	0	0	0	0	0
ENSG00000298333	0	0	0	0	0	0	0	0	0
ENSG00000306161	0	1	0	0	0	0	0	0	0
ENSG00000297108	0	0	0	0	0	0	0	0	0
ENSG00000299285	0	0	0	0	0	0	0	0	0
ENSG00000293938	0	0	0	0	0	0	0	0	0
ENSG00000288537	2	0	2	0	0	0	0	0	0
ENSG00000228392	0	0	0	0	0	0	0	0	0
MVB12B	506	467	667	1004	606	1041	1573	827	1294
ENSG00000298924	0	0	0	0	0	0	0	0	0
NRON	0	0	0	0	0	0	0	0	0
ENSG00000295036	0	0	0	0	0	0	0	0	0
ENSG00000233721	0	0	0	0	0	0	0	0	0
ENSG00000279137	0	0	0	1	0	0	0	0	0
ENSG00000295086	0	0	0	0	0	0	0	0	0
LMX1B-DT	2	0	2	13	6	0	0	0	1
LMX1B	56	62	132	720	203	23	11	14	1
ENSG00000238010	0	0	0	0	0	0	0	0	0
ENSG00000286428	0	0	0	0	0	1	0	0	0
ENSG00000293823	0	0	0	0	0	0	0	0	0
ZBTB43	399	392	660	776	503	877	837	300	950
ENSG00000288995	0	1	2	0	0	0	0	0	1
ENSG00000296351	0	0	0	0	0	0	0	0	0
ZBTB34	976	928	1090	1699	1209	2133	2184	828	1372
RALGPS1	832	679	1376	970	814	1156	1154	366	760
ANGPTL2	468	437	491	600	770	825	2278	749	1939
ENSG00000310341	0	0	1	0	0	0	0	0	0
ENSG00000228487	3	0	4	0	0	3	1	1	0
GARNL3	143	129	282	108	175	446	643	210	499
ENSG00000297688	0	1	1	2	0	3	0	0	0
DENRP4	0	0	0	0	0	0	0	0	0
ENSG00000271833	28	31	44	17	38	38	147	38	29
SLC2A8	745	689	606	1195	401	1036	988	687	1188
ZNF79	207	167	240	263	184	394	461	175	524
RPL12	11592	11110	14420	23344	16293	17217	26162	8456	12255
SNORA65	2	2	2	3	1	4	7	2	8
LRSAM1	605	539	928	1183	294	1326	614	377	1221
NIBAN2	2390	2427	2986	2444	477	3444	2024	2127	4130
STXBP1	2405	1994	1764	2168	3347	3380	6851	2146	2938
ENSG00000279571	0	0	0	1	0	2	1	0	0
PTRH1	179	157	142	340	90	193	180	127	123
MIR3911	0	0	0	0	0	0	0	0	0
CFAP157	0	0	6	3	0	4	3	3	9
TTC16	1	2	1	2	2	3	0	0	1
TOR2A	700	638	452	811	376	637	1061	671	631
ENSG00000299648	1	0	0	0	0	0	0	0	0
SH2D3C	146	140	397	94	83	326	289	112	163
ENSG00000286196	0	2	3	0	0	1	4	0	0
ENSG00000295129	1	0	4	0	0	2	0	0	0
ENSG00000300930	0	1	1	0	0	1	0	0	2
CDK9	2482	2300	2226	3804	2216	4335	4933	2096	4114
MIR3960	0	0	0	0	0	0	0	0	0
MIR2861	0	0	0	0	0	0	0	0	0
FPGS	2061	1863	1873	2529	824	2070	2094	1183	2042
ENG	256	206	167	168	104	162	370	217	285
