""	WT_P62	Y2_P37_28	YT2_P37_7_17
ENSG00000264574	0	0	0
ENSG00000299296	0	0	0
ENSG00000287124	0	0	0
OTUD1	166	392	181
ENSG00000310276	0	0	0
ENSG00000296387	1	0	0
ENSG00000307832	0	0	0
ENSG00000286442	0	0	0
KIAA1217	1619	1350	1459
NUP35P1	0	0	1
ENSG00000277563	0	0	0
MIR603	0	0	0
ENSG00000286951	0	0	0
ENSG00000308990	0	0	0
ENSG00000279029	0	0	0
ENSG00000301338	0	1	0
ENSG00000289188	0	0	0
ARHGAP21	2240	2816	4017
RNA5SP305	0	0	0
ENSG00000307047	3	4	8
ENSG00000285750	0	0	0
PRTFDC1	187	389	434
ENSG00000297715	0	0	0
ENSG00000228667	0	0	0
RN7SKP241	0	0	0
ENSG00000273107	10	26	16
ENSG00000285859	1	1	2
ENKUR	6	8	13
THNSL1	759	912	1087
ENSG00000300173	0	0	0
LINC01516	0	0	0
GPR158-AS1	3	0	3
GPR158	78	76	53
ENSG00000274242	0	0	0
RN7SKP220	0	0	0
GPN3P1	0	0	0
LINC00836	0	0	0
ENSG00000301236	1	0	1
HIRAP1	0	0	0
ENSG00000297038	0	0	0
RNA5SP306	0	0	0
RNU6-632P	0	0	0
ENSG00000226304	0	1	0
MYO3A	222	457	640
GAD2	7	54	146
ENSG00000289350	0	0	0
ENSG00000284951	0	0	0
APBB1IP	5	0	1
RNA5SP307	0	0	0
ENSG00000290434	0	0	0
LINC03028	0	0	0
FAM238A	0	0	2
ENSG00000290423	5	0	2
ENSG00000297927	0	0	0
ENSG00000298019	0	0	0
ENSG00000293509	0	0	1
ENSG00000297992	0	0	0
FAM238B	0	0	0
SELENOOLP	0	0	0
ENSG00000297970	0	0	0
ENSG00000279212	3	0	3
ENSG00000298039	0	0	0
PDSS1	306	503	713
HSPA8P3	0	1	0
ENSG00000235843	2	1	1
ABI1	1482	2312	2118
ENSG00000223027	0	0	0
RNU6-946P	0	1	0
ENSG00000305116	0	0	0
FAM238C	14	15	10
ENSG00000306360	0	0	0
ENSG00000305766	4	8	11
ANKRD26	860	1125	1140
ENSG00000307334	8	6	9
RNU6-490P	0	0	0
YME1L1	7382	12103	12516
MASTL	2750	4672	4866
ACBD5	1078	1970	1746
RNU2-24P	0	0	0
RNU7-12P	0	0	0
ENSG00000262412	5	7	4
LRRC37A6P	6	15	23
ENSG00000293149	0	0	0
ENSG00000293534	4	2	5
ENSG00000302586	0	0	0
ENSG00000302540	0	0	0
ODAD2P1	0	0	0
ENSG00000278830	0	0	0
RNU6-666P	0	0	0
ENSG00000215409	0	0	0
RNU6-452P	0	0	0
LINC02673	0	0	0
FAM210CP	0	0	0
ENSG00000301548	0	1	0
TRIAP1P1	0	0	0
PTCHD3	0	0	0
RAB18	2423	3251	2959
LINC02680	0	0	1
MKX	55	208	40
MKX-AS1	0	0	0
ODAD2	415	722	833
RN7SKP132	0	0	0
ENSG00000302356	0	0	0
RPL36AP55	0	0	0
ENSG00000233472	1	0	0
MRPS21P5	0	0	0
MPP7	437	515	314
ENSG00000286413	0	0	0
MIR8086	0	0	0
MPP7-DT	5	1	0
ZNF101P1	0	0	0
LINC02652	1	0	0
RPSAP10	0	0	0
RN7SKP39	0	0	0
WAC-AS1	1118	1131	1421
WAC	6653	8315	9336
RNU4ATAC6P	0	0	0
TPRKBP1	0	1	0
RNU6-1067P	0	0	0
ENSG00000298249	0	2	0
BAMBI	405	1241	757
ENSG00000299035	0	0	0
ENSG00000299061	0	0	0
LINC01517	2	14	10
ENSG00000294340	0	0	0
RNU6-270P	0	0	0
LINC00837	0	0	0
ENSG00000294302	0	0	0
ENSG00000271220	0	0	0
ENSG00000294358	0	3	2
RNA5SP308	0	0	0
RPL21P93	2	1	2
ENSG00000298315	0	0	0
ENSG00000301925	0	0	0
ENSG00000299899	0	0	0
ENSG00000299869	0	0	0
ENSG00000299883	0	0	0
ENSG00000299914	84	7	0
ENSG00000307553	1	0	1
ENSG00000307537	0	0	0
ENSG00000307571	0	0	0
ENSG00000305098	0	0	0
LYZL1	0	0	0
ENSG00000290014	0	0	0
ENSG00000301113	0	1	0
ENSG00000287402	0	0	0
SVIL-AS1	10	4	1
PTCHD3P1	0	3	3
SVIL	1486	1765	1945
MIR604	1	0	0
SNORD115	0	0	0
MIR938	0	0	1
CKS1BP2	37	88	92
RNU6-908P	0	0	0
ENSG00000296870	0	3	0
ENSG00000303513	0	0	0
ENSG00000306996	0	0	0
ENSG00000300983	0	0	0
ENSG00000289386	0	0	0
ENSG00000302342	0	0	0
ENSG00000294085	0	0	0
ENSG00000237936	0	0	0
ENSG00000299688	0	0	0
ENSG00000309221	0	0	0
ENSG00000289616	0	0	0
ENSG00000288874	0	0	0
JCAD	555	394	523
ENSG00000304527	2	0	1
ENSG00000296831	0	0	0
ENSG00000309194	0	2	0
ENSG00000298079	0	1	0
RNU6-598P	0	0	0
EEF1A1P39	0	0	1
ENSG00000259994	17	51	58
MTPAP	1268	2013	2231
ENSG00000285824	0	0	0
DNM1P17	1	1	0
GOLGA2P6	0	1	0
RN7SL241P	0	0	0
MIR7162	0	0	0
NIFKP1	0	0	0
ENSG00000235679	0	0	0
CCND3P1	1	0	0
ENSG00000289874	2	6	1
MAP3K8	137	338	271
ENSG00000307302	0	0	0
HNRNPA1P32	0	0	0
ENSG00000289898	0	0	0
ENSG00000287420	0	0	0
ENSG00000309884	0	0	0
ENSG00000228800	0	0	0
RN7SL63P	0	0	0
ENSG00000230298	0	0	0
ENSG00000285630	0	0	2
LYZL2	0	0	0
ENSG00000291294	0	0	0
SVIL2P	1	0	2
ENSG00000304099	0	0	0
ENSG00000290952	0	0	0
ENSG00000298320	0	1	0
ENSG00000295831	0	0	0
LINC02644	0	6	6
ENSG00000302909	0	0	0
ENSG00000302926	0	0	0
ZNF438	165	310	219
ENSG00000272914	0	0	3
ENSG00000304783	0	2	0
DDX10P1	1	0	1
ENSG00000304692	5	3	5
LINC02664	6	11	7
ENSG00000304739	1	6	5
ENSG00000304715	0	0	0
ZEB1-AS1	173	490	236
RNA5SP309	0	0	0
ZEB1	32	918	1301
SPTLC1P1	17	29	21
ENSG00000285781	0	0	0
ENSG00000304763	1	0	0
ENSG00000307931	0	0	0
ENSG00000307972	0	0	0
ENSG00000223834	2	7	7
ENSG00000286694	0	0	0
ENSG00000231855	0	0	0
MACORIS	0	0	3
ENSG00000300990	0	0	0
ENSG00000300971	0	0	0
ENSG00000306144	0	13	6
ZEBTR	18	56	39
ENSG00000309279	0	0	3
ARHGAP12	2286	3013	2990
HMGB1P7	0	0	0
ENSG00000298823	32	30	12
RPL34P19	0	0	0
RN7SL825P	0	0	0
KIF5B	5611	9788	10233
RPS4XP11	22	29	26
ENSG00000301470	0	0	0
ENSG00000235113	0	0	0
ENSG00000234811	0	0	0
ENSG00000301489	0	0	0
ENSG00000305242	0	0	0
RNU7-22P	0	0	0
PPIAP31	101	191	206
RPS24P13	0	0	0
ENSG00000227253	0	0	1
EPC1	975	1461	1847
ENSG00000226842	0	0	0
EPC1-AS2	0	1	0
EPC1-AS1	0	0	0
ENSG00000299012	2	1	0
RNU6-1244P	0	0	0
ENSG00000286409	0	2	1
CCDC7	53	95	66
C1DP1	253	385	358
ITGB1	10577	21172	16327
AK3P5	0	0	0
ITGB1-DT	11	9	11
ENSG00000306920	0	0	0
MTND4LP11	0	0	0
RN7SL847P	0	0	0
ENSG00000229878	0	0	0
IATPR	0	0	0
RPL7AP53	1	0	0
ENSG00000306900	0	0	0
ENSG00000306881	0	0	0
ENSG00000298990	0	0	0
NRP1	591	574	341
ENSG00000238258	0	5	0
ENSG00000297604	0	0	0
RN7SL398P	0	0	0
ENSG00000287278	3	4	1
ENSG00000273012	0	0	0
ENSG00000297592	0	0	0
ENSG00000298002	0	0	0
ENSG00000295021	0	0	0
ENSG00000308995	0	0	0
LINC02628	0	0	0
ENSG00000305071	0	0	0
ENSG00000203565	0	0	0
LINC00838	0	0	0
RPL23P11	0	0	0
ENSG00000299423	0	0	0
LINC02629	0	0	0
ENSG00000306217	0	0	0
ENSG00000294847	0	0	0
ENSG00000288987	1	0	0
PARD3	3671	5210	5110
ELOBP4	1	1	1
RPL37P18	0	0	0
RPS12P16	1	0	0
PARD3-DT	6	19	7
SS18L2P1	0	0	0
RNU6-847P	0	0	0
RNU6-193P	0	0	0
PRDX2P2	0	0	0
ENSG00000301061	0	0	0
LINC02635	0	0	0
ENSG00000301086	0	1	0
CUL2	2009	3254	3136
MIR3611	0	0	0
ENSG00000230534	0	1	0
CREM	705	1224	1058
RNU7-77P	3	0	2
ATP6V1G1P4	1	1	2
ENSG00000269952	7	5	11
CCNY-AS1	24	33	43
RNU6-794P	0	0	0
CCNY	2682	4105	3900
RNU6-1167P	0	0	0
ENSG00000287945	0	0	0
ENSG00000273312	0	0	0
GJD4	0	0	0
FZD8	823	487	547
ENSG00000287528	10	13	38
MIR4683	0	0	0
ENSG00000288893	2	0	0
RPL7P37	0	0	0
ENSG00000301879	0	0	0
PCAT5	0	0	0
ENSG00000294862	1	0	0
ENSG00000309863	0	0	0
LINC02630	0	0	0
ENSG00000299958	0	0	0
ENSG00000299999	0	0	0
ENSG00000227475	0	0	0
ENSG00000237002	0	2	0
MTND5P17	0	0	0
MTND4P18	0	0	0
ENSG00000274458	0	0	0
NAMPTP1	1176	1712	1338
ENSG00000302912	0	0	0
ENSG00000303380	0	0	0
ENSG00000301831	0	0	0
ENSG00000303775	0	0	0
ENSG00000238176	0	0	0
MKNK2P1	0	0	0
ARL6IP1P2	7	5	5
ENSG00000308811	0	0	0
ENSG00000308824	0	0	0
ANKRD30A	0	2	4
RNU6-811P	0	0	0
ENSG00000234918	0	0	0
LINC00993	0	0	0
RN7SL314P	0	0	0
ENSG00000304597	0	0	0
ENSG00000290801	0	0	0
TMEM161BP1	0	1	0
VN1R53P	0	0	0
ENSG00000298408	0	0	0
ENSG00000302656	0	0	0
TACC1P1	0	0	0
MTND1P18	0	0	0
ENSG00000308646	0	0	0
ENSG00000299623	0	0	0
ENSG00000295249	0	0	0
ENSG00000226578	0	11	8
ZNF248	417	1023	928
ENSG00000260137	0	0	0
ZNF33BP1	0	2	0
TLK2P2	12	13	14
ZNF248-AS1	0	4	9
ZNF37CP	0	0	0
ZNF33CP	0	0	0
ZNF25	68	273	186
ZNF25-DT	0	0	0
ENSG00000302904	1	0	0
ZNF33A	1871	3262	4070
RNU6-795P	0	0	0
ENSG00000275675	0	0	0
EIF3LP3	2	5	0
ENSG00000302873	0	1	0
FXYD6P2	0	0	0
ZNF37A	530	917	1815
PLD5P1	0	0	2
ENSG00000272983	19	17	11
ENSG00000225965	0	0	0
ENSG00000290887	0	1	0
CCNYL4	0	1	0
ENSG00000226113	0	0	0
ENSG00000234941	0	0	0
HSD17B7P2	36	242	329
SEPTIN7P9	3	20	18
ENSG00000290535	58	223	113
ENSG00000276805	0	0	0
RNU6-1118P	0	0	0
CICP9	0	0	0
ENSG00000203496	1	0	0
ABCD1P2	0	0	0
ENSG00000277133	0	0	0
PABPC1P12	0	0	0
ENSG00000296464	0	0	0
SLC9B1P3	0	0	0
ACTR3BP5	0	0	0
CHEK2P5	0	0	0
ENSG00000227679	0	0	0
ENSG00000233832	0	0	0
KSR1P1	0	0	0
IGKV1OR10-1	0	0	0
ENSG00000304195	0	0	0
ENSG00000291065	0	2	1
ENSG00000271650	0	0	0
ENSG00000290458	0	0	0
ENSG00000274167	0	0	0
PABPC1P8	0	0	0
ENSG00000215146	0	0	0
CCNYL2	0	1	0
ENSG00000279239	0	0	0
LINC00839	0	1	0
ZNF37BP	413	677	1134
ENSG00000301378	0	0	0
FXYD6P1	0	0	0
EIF3LP2	15	14	8
ZNF33B	1265	1498	2062
ENSG00000277479	0	0	0
ENSG00000272319	0	0	0
ENSG00000272387	0	0	0
RNU6-1170P	0	0	0
ENSG00000285884	4	6	1
LINC01518	0	3	0
VN1R54P	0	0	0
CUBNP1	0	0	0
LINC02632	0	0	0
RSU1P1	0	0	0
DUXAP3	0	0	0
ENSG00000259869	11	20	11
ENSG00000295267	7	10	3
ENSG00000295245	5	4	1
BMS1	5696	7157	9023
RNU6-885P	0	0	0
ENSG00000294002	1	0	0
LINC02623	0	0	0
ENSG00000296148	2	0	0
LINC01264	0	0	0
MIR5100	0	0	0
ENSG00000303432	4	1	4
RET	1300	1707	1493
CSGALNACT2-DT	11	22	10
CSGALNACT2	611	810	512
RASGEF1A	854	1114	1071
LINC02633	16	4	0
ENSG00000285712	21	10	1
RNU6ATAC11P	0	0	0
FXYD4	0	4	1
HNRNPF	11934	14805	19025
LINC02916	43	39	56
SNORD3J	0	0	0
ZNF487	62	71	54
RNU7-193P	0	0	0
ENSG00000236114	0	0	1
ZNF239	396	500	736
ENSG00000287852	0	0	0
CAP1P2	12	20	21
ZNF485	227	276	379
ZNF32-AS3	20	77	31
ENSG00000237389	0	0	1
RPL21P88	0	0	0
ZNF32	557	1339	1286
ZNF32-AS1	0	0	1
ENSG00000307911	3	3	1
SPRING1P1	0	0	0
UQCRHP3	0	0	0
ELOCP30	0	0	0
LINC02658	0	0	0
LINC00840	0	0	1
HNRNPA3P1	205	282	296
ENSG00000307519	0	0	0
LINC02659	0	0	0
LINC00841	0	0	0
ENSG00000295001	0	0	0
ENSG00000300532	0	0	0
ENSG00000302126	0	0	0
LINC03089	0	0	0
ENSG00000229116	20	64	117
LINC02881	3	1	0
ENSG00000287901	7	41	24
ENSG00000295737	0	0	0
ENSG00000295748	0	7	2
CXCL12	1088	4079	5042
ENSG00000303087	0	1	2
ENSG00000303074	2	0	0
RPL9P21	0	0	0
ENSG00000270767	0	0	0
ENSG00000287173	0	0	0
ENSG00000296361	0	0	0
ENSG00000234580	0	0	0
ENSG00000308613	0	0	0
TMEM72-AS1	6	14	11
EIF2AP4	0	0	0
ENSG00000234504	0	0	1
TMEM72	0	4	3
ENSG00000223462	0	0	1
RASSF4	609	964	773
DEPP1	71	25	36
ZNF22-AS1	57	71	85
ZNF22	1958	3607	3993
DUXAP4	0	0	0
ENSG00000297157	3	5	2
CEP164P1	0	0	0
ENSG00000297181	0	0	0
RPS19P7	1	0	0
RSU1P2	0	0	0
CUBNP3	0	0	0
ENSG00000243349	0	0	1
ANKRD54P1	0	0	0
ANKRD30BP3	0	0	0
MIR3156-1	0	0	0
ENSG00000275312	0	0	0
ENSG00000278531	0	0	0
RNU6-1207P	0	0	0
CUBNP2	0	0	0
ENSG00000293390	0	0	1
OR6D1P	0	0	0
OR13A1	13	5	19
ALOX5	118	124	65
ENSG00000231964	0	0	0
MARCHF8	756	1225	1371
ENSG00000295473	0	0	0
ZFAND4	422	625	488
ENSG00000299671	0	0	0
AGAP10P	5	2	6
ENSG00000290460	8	11	0
FAM21FP	0	0	0
ENSG00000299705	1	0	2
ENSG00000228702	0	0	0
WASHC2C	2031	2435	2916
ENSG00000270434	0	0	0
FAM25EP	0	0	0
AGAP4	173	257	354
ENSG00000307033	0	0	1
ENSG00000290921	91	131	148
RNA5SP310	0	0	0
PARGP1	50	49	72
RPL35AP23	0	0	0
TIMM23	2374	4018	4735
SNORA74C-1	0	0	0
NCOA4	3631	6053	6897
ENSG00000289092	16	30	62
ENSG00000305167	1	0	0
MSMB	0	0	0
RPL23AP61	0	0	0
ENSG00000305148	0	0	0
ENSG00000299595	11	30	17
AGAP7P	0	0	0
ENSG00000299562	0	0	0
ENSG00000299608	0	0	0
ENSG00000299578	0	0	0
ANTXRLP1	0	0	0
ENSG00000299622	0	0	0
ENSG00000301697	0	0	1
ANTXRL	0	2	0
ENSG00000302995	0	0	0
AGAP14P	15	30	14
ENSG00000297820	0	0	1
FAM25BP	0	0	0
ENSG00000279458	0	0	0
ENSG00000285402	0	0	0
ANXA8L1	0	5	8
LINC00842	2	0	4
HNRNPA1P33	0	0	0
NPY4R	0	0	1
ENSG00000301445	0	0	0
ENSG00000295215	2	5	2
GPRIN2	1046	1329	2282
ENSG00000293967	0	0	2
SYT15	5	7	5
SYT15-AS1	6	23	5
ENSG00000229227	0	0	1
SHLD2P1	0	0	0
ENSG00000290913	2	1	0
LINC02637	0	6	2
RHEBP1	8	9	11
RN7SL248P	0	0	0
ENSG00000294587	0	0	0
FAM245B	4	0	0
ENSG00000290875	78	89	80
CTSLP3	0	0	0
GLUD1P2	0	0	0
ENSG00000215097	2	10	0
BMS1P1	130	161	178
RNA5SP311	0	0	0
AGAP13P	2	0	1
ENSG00000305731	13	13	20
ENSG00000293731	0	0	0
FRMPD2B	1	0	2
PTPN20	1	1	2
ENSG00000295536	0	0	0
ENSG00000297443	0	0	0
ENSG00000309477	0	0	0
ENSG00000301833	0	0	1
ENSG00000296622	0	0	0
ENSG00000289299	0	0	0
ENSG00000303145	0	0	0
GDF10	7	27	56
ENSG00000306200	0	0	0
GDF2	0	0	0
RBP3	0	0	0
ZNF488	122	360	568
ENSG00000304082	1	0	0
LINC03029	0	0	0
ANXA8	11	17	11
ENSG00000270369	0	0	0
FAM25G	0	0	0
ENSG00000224919	0	1	0
AGAP9	221	250	261
ENSG00000254929	0	4	0
ENSG00000298933	1	0	0
RNA5SP312	0	0	0
ENSG00000290453	6	13	5
BMS1P2	1	3	3
ENSG00000298889	4	16	10
ENSG00000265630	0	0	0
DUSP8P1	1	0	0
CTSLP2	16	3	3
LINC02675	0	0	0
SHLD2P3	58	117	65
ENSG00000304044	0	0	0
RN7SL453P	0	0	0
RHEBP2	0	0	0
ENSG00000304028	1	0	2
ENSG00000304007	0	0	0
ENSG00000309880	0	6	4
SYT15B	2	3	1
ENSG00000276850	0	3	2
NPY4R2	0	0	0
ENSG00000304615	0	0	0
ENSG00000273760	0	1	0
ENSG00000304659	0	0	0
FAM25C	0	0	0
AGAP12P	0	5	3
ENSG00000289143	0	0	0
ENSG00000308349	0	0	0
ENSG00000289444	1	2	0
RNA5SP315	0	0	0
BMS1P7	0	0	0
PTPN20CP	0	0	0
ENSG00000290899	0	0	0
FRMPD2	13	14	8
ENSG00000285786	0	0	0
ENSG00000306580	0	0	0
RPS6P14	0	0	0
MAPK8	1968	2985	2857
ENSG00000303458	0	0	1
ENSG00000279822	2	2	17
ARHGAP22	267	260	394
ARHGAP22-IT1	1	0	0
COX7BP6	0	0	0
ENSG00000251413	0	0	0
ENSG00000236800	0	0	0
WDFY4	0	0	1
RPL13AP19	0	0	0
ENSG00000286993	0	0	0
ENSG00000228403	0	0	0
ENSG00000241577	0	0	0
LRRC18	0	0	0
ENSG00000233665	0	0	0
ENSG00000226576	0	0	0
MIR4294	0	0	0
VSTM4	114	175	148
FAM170B-AS1	0	0	0
FAM170B	0	0	0
TMEM273	1	2	1
ENSG00000309090	0	0	0
C10orf71-AS1	0	0	0
ENSG00000297439	0	0	0
C10orf71	1	0	1
ENSG00000308387	0	0	0
DRGX	0	1	1
ENSG00000235939	0	0	0
ERCC6	416	615	783
HMGB1P50	0	0	0
CHAT	1	13	3
SLC18A3	2	10	7
ENSG00000298147	0	0	0
C10orf53	4	0	0
OGDHL	1036	1757	1302
MAPK6P6	1	1	0
RPL21P89	0	0	0
PARG	2176	3488	3494
RPL35AP24	0	0	0
TIMM23B	113	219	102
TIMM23B-AGAP6	16	23	22
SNORA74C-2	0	0	0
ENSG00000285803	0	0	2
RNA5SP317	0	0	0
AGAP6	49	67	90
FAM21EP	8	5	10
SLC9A3P3	0	0	0
WASHC2A	1729	2334	3144
SLC9A3P1	0	0	0
ASAH2	63	124	86
DYNC1I2P1	890	1355	1379
SGMS1	610	1502	1759
ENSG00000286401	1	0	0
ENSG00000279863	0	0	0
ENSG00000225303	0	0	0
RNU7-107P	0	0	0
ENSG00000303553	1	0	4
SGMS1-AS1	107	166	164
SHQ1P1	0	0	1
ENSG00000303532	0	0	0
ENSG00000293353	0	0	0
BEND3P1	0	0	0
NUTM2HP	4	6	3
ENSG00000226168	0	0	0
ENSG00000306596	0	0	0
ENSG00000306571	1	1	0
CTSLP4	0	0	0
PGGT1BP1	14	9	8
ENSG00000287221	25	30	16
ASAH2B	241	378	289
A1CF	0	0	0
ENSG00000229711	0	0	0
MIX23P2	0	0	0
ENSG00000261368	0	0	0
PRKG1	2051	1188	1133
ENSG00000223502	42	24	20
ENSG00000231132	0	0	0
MIR605	0	0	0
ENSG00000235279	1	0	0
RSU1P3	0	0	0
ENSG00000289270	0	0	0
ENSG00000300891	0	0	0
CSTF2T	2652	2975	3766
ENSG00000289527	365	1792	1669
PRKG1-AS1	0	1	0
ENSG00000308923	0	0	0
DKK1	23	8	12
RPL31P44	0	0	0
ENSG00000299824	0	0	0
THAP12P3	3	2	3
LNCAROD	3	2	2
ENSG00000296101	0	0	0
ENSG00000296123	0	0	0
MBL2	0	0	0
ENSG00000306325	0	1	0
ENSG00000306279	0	2	0
ENSG00000306301	0	0	0
ENSG00000285958	90	0	1
LINC02672	1	1	0
SNRPEP8	0	0	0
ENSG00000226296	0	0	0
RNA5SP318	0	0	0
ENSG00000233805	0	0	0
PCDH15	20	89	57
ENSG00000294506	0	0	0
RNU6-687P	0	0	0
ENSG00000234173	0	0	0
NEFMP1	0	0	0
MIR548F1	0	0	0
ENSG00000236958	0	0	0
ENSG00000236744	0	0	0
ENSG00000223800	0	0	0
ENSG00000228048	0	0	0
ENSG00000302654	0	2	0
GAPDHP21	4	6	8
ENSG00000270541	0	0	0
ENSG00000308905	12	40	26
ENSG00000299437	0	0	0
ENSG00000302243	3	2	1
ZWINT	2701	4489	5690
ENSG00000287016	53	56	46
ENSG00000238707	0	0	0
ENSG00000301278	0	0	0
ENSG00000298109	0	0	0
ENSG00000289158	252	505	607
MIR3924	0	0	0
ENSG00000309380	0	0	0
ENSG00000308896	0	0	0
ENSG00000305625	0	0	0
ENSG00000235810	0	0	0
ENSG00000302788	0	0	0
ENSG00000293985	0	0	0
ENSG00000299631	0	0	0
ENSG00000223841	0	0	0
MRPS35P3	0	0	0
ENSG00000305926	0	0	0
ENSG00000232115	0	0	0
ENSG00000303068	0	0	0
IPMK	694	1489	1107
TPT1P10	0	1	0
CISD1	672	1378	1411
ENSG00000228527	1	0	1
ENSG00000261076	0	0	0
UBE2D1	1449	2291	2213
TFAM	3538	5348	5524
ENSG00000293977	0	0	0
BICC1	25	59	86
FAM133CP	1	8	8
ENSG00000301981	0	0	0
RN7SKP196	0	0	0
LINC00844	0	0	0
RPLP1P10	0	0	0
ENSG00000294882	0	0	0
TRAF6P1	0	0	0
CCEPR	2	5	22
PHYHIPL	9	45	60
FAM13C	50	208	179
ENSG00000236556	0	0	0
ENSG00000308480	0	0	0
ENSG00000287969	0	0	0
ENSG00000303721	0	0	2
MRPL50P4	0	0	0
ENSG00000235140	0	0	0
SLC16A9	1671	1150	1634
MRLN	1	2	0
CCDC6	4529	3625	5183
LINC01553	0	0	0
ENSG00000232682	1	0	0
ANK3	2252	2867	2754
ENSG00000308015	0	0	0
ENSG00000282121	0	0	1
ENSG00000300953	0	0	0
ENSG00000302106	0	0	0
ARL4AP1	0	0	0
ANK3-DT	0	3	0
CDK1	3967	5682	5545
ENSG00000294206	0	0	0
RHOBTB1	585	835	1231
RNU2-72P	0	0	0
ENSG00000289989	0	2	2
LINC00845	0	2	0
ENSG00000298595	0	0	0
ENSG00000298582	0	0	0
ENSG00000305028	0	0	0
TMEM26	28	231	331
TMEM26-AS1	3	16	10
ENSG00000288052	0	0	5
CABCOCO1	1	4	3
LINC02625	0	0	0
ENSG00000289834	0	0	0
ENSG00000307586	0	0	0
ENSG00000307565	0	0	0
ARID5B	27	400	648
ENSG00000307546	0	0	0
RTKN2	1316	2374	3606
ENSG00000298256	0	0	1
ENSG00000294672	0	0	0
LINC02621	0	0	0
ENSG00000288011	0	0	1
RN7SL591P	0	0	0
ZNF365	33	23	24
ENSG00000285837	0	0	0
LINC02929	0	0	0
ENSG00000238280	1	1	2
ENSG00000307027	0	0	0
ALDH7A1P4	0	0	0
ADO	1580	2268	2704
EGR2	82	49	87
ENSG00000289487	0	1	0
ENSG00000294405	0	0	0
RNU6-543P	0	0	0
ENSG00000224301	0	0	0
NRBF2	1462	2145	1811
JMJD1C	5792	10500	11181
TATDN1P1	200	257	237
ENSG00000270421	0	0	0
MIR1296	1	0	0
PRELID1P3	0	0	0
JMJD1C-AS2	0	0	0
JMJD1C-AS1	12	25	12
ENSG00000224412	0	0	0
REEP3	1158	2080	1870
ENSG00000307521	0	3	0
ENSG00000286373	40	50	18
MRPL35P2	0	0	0
ENSG00000270352	0	0	0
ENSG00000228566	3	10	0
ENSG00000307127	0	0	0
ENSG00000299544	0	0	0
RPL7AP50	648	964	877
ENSG00000226426	0	0	0
DBF4P1	409	615	840
ENSG00000299560	0	0	0
ENSG00000301749	0	0	0
RPL17P35	0	0	0
ENSG00000293732	0	0	0
CYP2C61P	0	0	0
ANXA2P3	0	0	0
LINC02671	15	2	5
NEK4P3	0	0	0
ENSG00000282906	0	0	0
MYL6P3	0	0	0
ENSG00000233724	0	0	0
ENSG00000235356	0	0	0
ENSG00000296562	0	0	0
LINC01515	160	200	344
ENSG00000294264	0	0	2
ENSG00000305605	0	0	0
CTNNA3	49	77	53
ENSG00000273360	0	0	0
ENSG00000298814	0	0	0
ENSG00000277056	0	0	0
LRRTM3	13	57	106
ENSG00000289325	0	0	0
ENSG00000302985	0	0	0
ENSG00000225299	0	0	0
RPL7AP51	0	0	0
MIR7151	0	0	0
AKR1B10P1	0	0	0
ENSG00000295925	0	0	0
RPL21P92	0	0	0
DNAJC12	29	102	89
RNU6-1250P	0	0	0
RN7SL394P	0	0	0
DNAJC19P1	0	0	0
ENSG00000272892	7	11	10
RNU6-523P	0	0	0
RPL12P8	0	0	3
SIRT1	4058	5488	4706
HERC4	1328	2639	2652
RPS3AP38	6	27	6
RN7SL220P	2	0	0
POU5F1P5	0	1	0
ENSG00000307702	0	0	0
ENSG00000301943	0	0	0
MYPN	2	1	2
ENSG00000305972	0	0	0
ENSG00000305768	0	0	0
RN7SKP202	0	0	0
ATOH7	19	22	17
LINC02640	0	0	0
KRT19P4	0	0	0
PBLD	90	93	105
HNRNPH3	11638	13633	13342
RUFY2	564	666	658
DNA2	1909	3583	3781
RPL26P29	0	0	0
RNA5SP319	0	0	0
SLC25A16	261	365	249
RPL26P27	0	0	0
TMEM14DP	180	264	311
TET1	4876	7603	6272
COX20P1	236	275	415
RPS3AP37	0	2	1
ENSG00000260400	61	163	334
ENSG00000270494	0	0	0
CCAR1	3037	8640	12899
SNORD98	0	0	0
ENSG00000221184	29	35	36
STOX1	352	305	352
RNU6-697P	0	0	0
ENSG00000285871	0	0	0
ENSG00000307488	0	1	3
DDX50	3003	3550	3353
RNU6-571P	0	0	0
DDX21	14617	21610	17376
KIFBP	1716	2379	2769
MED28P1	9	19	7
ACTBP14	0	0	0
ENSG00000304022	0	0	0
ENSG00000304114	0	0	0
ENSG00000297252	0	0	0
ENSG00000297291	0	0	0
ENSG00000297270	2	0	2
ENSG00000297306	0	0	0
SRGN	3	11	9
ENSG00000297237	1	0	2
VPS26A	2004	3118	3348
RPS12P17	0	0	0
SUPV3L1	1416	2345	2506
ENSG00000229261	0	0	0
HKDC1	13	4	16
ENSG00000231748	0	1	0
HK1	11110	16015	11885
RPS15AP28	0	0	0
TACR2	0	0	0
ENSG00000299486	0	0	0
ATP5MC1P7	0	0	0
ENSG00000299501	0	0	0
TSPAN15	619	368	297
ENSG00000287306	2	1	8
TMEM256P1	0	0	0
ENSG00000308443	0	0	0
ENSG00000236154	39	106	26
NEUROG3	2	15	18
MTATP6P23	0	0	0
MTCO2P23	0	0	0
MTCO1P23	0	0	0
MTND2P15	0	0	0
MTND1P20	0	0	0
FAM241B	437	842	917
LINC02651	0	0	0
RPL5P26	0	0	0
ENSG00000289193	20	3	2
